path,owner,category,lang,status
docs/ACCESS_CONTROL.md,docs-team,Redirect-stub,en,redirect-stub
docs/ACCESS_CONTROL.ru.md,docs-team,Docs,ru,keep
docs/API.md,docs-team,Redirect-stub,en,redirect-stub
docs/API.ru.md,docs-team,Docs,ru,keep
docs/API_ERRORS.md,docs-team,Redirect-stub,en,redirect-stub
docs/ARCHITECTURE.md,docs-team,Redirect-stub,en,redirect-stub
docs/ARCHITECTURE.ru.md,docs-team,Docs,ru,keep
docs/CI_AND_QUALITY.md,docs-team,Redirect-stub,en,redirect-stub
docs/CODEQL.md,docs-team,Redirect-stub,en,redirect-stub
docs/CODEQL.ru.md,docs-team,Docs,ru,keep
docs/CONFIGURATION.md,docs-team,Redirect-stub,en,redirect-stub
docs/CONFIGURATION.ru.md,docs-team,Docs,ru,keep
docs/CV_ML_PREP.md,docs-team,Redirect-stub,en,redirect-stub
docs/CV_ML_PREP.ru.md,docs-team,Docs,ru,keep
docs/CV_ML_ROADMAP_PHASES.md,docs-team,Redirect-stub,en,redirect-stub
docs/CV_ML_ROADMAP_PHASES.ru.md,docs-team,Docs,ru,keep
docs/DATASETS.md,docs-team,Redirect-stub,en,redirect-stub
docs/DEFINITION_OF_DONE.md,docs-team,Redirect-stub,en,redirect-stub
docs/DEFINITION_OF_DONE.ru.md,docs-team,Docs,ru,keep
docs/DEPLOY_SERVER.md,docs-team,Redirect-stub,en,redirect-stub
docs/DEPLOY_SERVER.ru.md,docs-team,Docs,ru,keep
docs/Documentation.md,docs-team,Redirect-stub,en,redirect-stub
docs/FEATURES.md,docs-team,Redirect-stub,en,redirect-stub
docs/FEATURES.ru.md,docs-team,Docs,ru,keep
docs/GLOSSARY.md,docs-team,Redirect-stub,en,redirect-stub
docs/GLOSSARY.ru.md,docs-team,Docs,ru,keep
docs/HEIMDALL.md,docs-team,Redirect-stub,en,redirect-stub
docs/HEIMDALL.ru.md,docs-team,Docs,ru,keep
docs/INSTALL.md,docs-team,Redirect-stub,en,redirect-stub
docs/INSTALL.ru.md,docs-team,Docs,ru,keep
docs/LOCAL_DEV.md,docs-team,Redirect-stub,en,redirect-stub
docs/LOCAL_DEV.ru.md,docs-team,Docs,ru,keep
docs/MCP_SETUP.md,docs-team,Redirect-stub,en,redirect-stub
docs/MCP_SETUP.ru.md,docs-team,Docs,ru,keep
docs/ML_DETECTOR_COLAB.md,docs-team,Redirect-stub,en,redirect-stub
docs/ML_DETECTOR_COLAB.ru.md,docs-team,Docs,ru,keep
docs/OVERVIEW.md,docs-team,Redirect-stub,en,redirect-stub
docs/OVERVIEW.ru.md,docs-team,Docs,ru,keep
docs/POSTGRES_MIGRATION.md,docs-team,Redirect-stub,en,redirect-stub
docs/POSTGRES_MIGRATION.ru.md,docs-team,Docs,ru,keep
docs/PROCESSOR_PERFORMANCE.md,docs-team,Redirect-stub,en,redirect-stub
docs/PROCESSOR_PERFORMANCE.ru.md,docs-team,Docs,ru,keep
docs/PUBLIC_RECORDINGS.md,docs-team,Redirect-stub,en,redirect-stub
docs/PUBLIC_RECORDINGS.ru.md,docs-team,Docs,ru,keep
docs/PUBLIC_RELEASE_CHECKLIST.md,docs-team,Redirect-stub,en,redirect-stub
docs/PUBLIC_RELEASE_CHECKLIST.ru.md,docs-team,Docs,ru,keep
